# Query Group 1 Filters: diseases: Alzheimer disease | tissues: brain | cellTypes: neuron
# Query Group 2 Filters: diseases: normal | tissues: brain | cellTypes: neuron
Gene,Log Fold Change,Effect Size,Adjusted P-Value
CTD-2234B20.1,-0.000,-0.001,1.818e-1
MIR661,-0.000,-0.001,1.818e-1
CDC27P3,-0.000,-0.001,1.818e-1
RP11-182I10.1,-0.000,-0.001,1.818e-1
FDPSP7,-0.000,-0.001,1.818e-1
RP1-128O3.5,-0.000,-0.001,1.818e-1
MIR4321,-0.000,-0.001,1.818e-1
MIR10B,-0.000,-0.001,1.818e-1
CUPIN1P,-0.000,-0.001,1.818e-1
RNU6-1056P,-0.000,-0.001,1.818e-1
BTG3P1,-0.000,-0.001,1.818e-1
RNU7-149P,-0.000,-0.001,1.818e-1
RP11-629O1.3,-0.000,-0.001,1.818e-1
TOP1P1,-0.000,-0.001,1.818e-1
RP11-87N3.6,-0.000,-0.001,1.818e-1
PISRT1,-0.000,-0.001,1.818e-1
RP11-351I24.3,-0.000,-0.001,1.818e-1
RN7SL322P,-0.000,-0.001,1.818e-1
RP11-160N1.11,-0.000,-0.001,1.818e-1
PPIAP75,-0.000,-0.001,1.818e-1
TGFA-IT1,-0.000,-0.001,1.818e-1
RP11-746P2.5,-0.000,-0.001,1.818e-1
HSFX2,-0.000,-0.001,1.818e-1
CYP2C9,-0.000,-0.001,8.362e-1
CTC-400I9.3,-0.000,-0.001,7.948e-1
BTN2A2,-0.000,-0.001,8.381e-1
AP000477.3,-0.000,-0.001,8.145e-1
ABCB4,-0.000,-0.001,8.325e-1
LINC02522,-0.000,-0.001,7.944e-1
RP11-109N23.4,-0.000,-0.001,8.318e-1
RP11-323N12.5,-0.000,-0.001,8.145e-1
TEX51,-0.000,-0.001,8.231e-1
LINC01146,-0.000,-0.001,8.334e-1
TCN1,-0.000,-0.001,8.318e-1
OOSP2,-0.000,-0.001,8.334e-1
RP11-403N16.2,-0.000,-0.001,8.132e-1
LINC01710,-0.000,-0.001,7.988e-1
STAU2-AS1,-0.000,-0.001,8.266e-1
CTA-31J9.2,-0.000,-0.001,7.925e-1
RP11-35O7.1,-0.000,-0.001,7.974e-1
RP1-213J1P__B.1,-0.000,-0.001,8.177e-1
ZIM3,-0.000,-0.001,8.225e-1
OR7E154P,-0.000,-0.001,1.409e-1
TMX1,-0.000,-0.001,8.257e-1
RP11-708B6.2,-0.000,-0.001,8.293e-1
LINC01686,-0.000,-0.001,8.112e-1
CYP4F8,-0.000,-0.001,8.014e-1
RNA5SP446,-0.000,-0.001,1.378e-1
CCDC34P1,-0.000,-0.001,1.376e-1
PLIN2,-0.000,-0.001,8.231e-1
RP11-133K1.6,-0.000,-0.001,8.098e-1
RP11-160E2.17,-0.000,-0.001,8.294e-1
MED13P1,-0.000,-0.001,1.315e-1
GLI1,-0.000,-0.001,8.151e-1
AC092614.2,-0.000,-0.001,8.148e-1
AP1M2,-0.000,-0.001,8.198e-1
RP11-288I21.1,-0.000,-0.001,8.128e-1
ERVV-1,-0.000,-0.001,7.977e-1
RNF19B,-0.000,-0.001,8.192e-1
HMGB1P15,-0.000,-0.001,1.275e-1
RP1-69E11.3,-0.000,-0.001,1.274e-1
ADGRD1-AS1,-0.000,-0.001,7.980e-1
CTD-2655K5.1,-0.000,-0.001,8.090e-1
ZNF619P1,-0.000,-0.001,1.217e-1
AVPR2,-0.000,-0.001,7.992e-1
KDM7A-DT,-0.000,-0.001,8.206e-1
MIR6773,-0.000,-0.001,1.200e-1
RNU7-73P,-0.000,-0.001,1.193e-1
CDRT15P5,-0.000,-0.001,1.192e-1
FTLP4,-0.000,-0.001,1.188e-1
LINC01629,-0.000,-0.001,8.092e-1
RNU1-78P,-0.000,-0.001,1.184e-1
PDCL3P7,-0.000,-0.001,1.178e-1
FKBP1AP3,-0.000,-0.001,1.174e-1
RNU6-63P,-0.000,-0.001,1.171e-1
RNA5SP384,-0.000,-0.001,1.163e-1
CCDC87,-0.000,-0.001,8.048e-1
RP11-429P3.5,-0.000,-0.001,8.110e-1
METTL7AP1,-0.000,-0.001,1.161e-1
MRPS21P2,-0.000,-0.001,1.156e-1
RNU6-179P,-0.000,-0.001,1.152e-1
IGBP1P5,-0.000,-0.001,1.152e-1
RP11-507K2.3,-0.000,-0.001,8.156e-1
GAPDHP57,-0.000,-0.001,1.150e-1
RNA5SP341,-0.000,-0.001,1.148e-1
RNU6-937P,-0.000,-0.001,1.148e-1
RNA5SP211,-0.000,-0.001,1.146e-1
MTND5P18,-0.000,-0.001,1.142e-1
RN7SL547P,-0.000,-0.001,1.139e-1
RP11-1H8.5,-0.000,-0.001,1.139e-1
RN7SL399P,-0.000,-0.001,1.137e-1
CTB-47B8.5,-0.000,-0.001,1.136e-1
RNU4-84P,-0.000,-0.001,1.135e-1
RP11-211G3.3,-0.000,-0.001,8.128e-1
CTB-179I1.3,-0.000,-0.001,1.133e-1
LINC01675,-0.000,-0.001,8.145e-1
MIR8056,-0.000,-0.001,1.129e-1
ORC1P1,-0.000,-0.001,1.129e-1
RNU6-1187P,-0.000,-0.001,1.128e-1
RNA5SP239,-0.000,-0.001,1.128e-1
ASS1P13,-0.000,-0.001,1.125e-1
RPS16P9,-0.000,-0.001,1.124e-1
RP11-613D13.10,-0.000,-0.001,1.124e-1
RBBP4P3,-0.000,-0.001,1.122e-1
LINC00358,-0.000,-0.001,7.827e-1
OR4C50P,-0.000,-0.001,1.122e-1
OR10G9,-0.000,-0.001,1.121e-1
MIR302E,-0.000,-0.001,1.121e-1
RNY4P14,-0.000,-0.001,1.121e-1
AC008268.1,-0.000,-0.001,1.120e-1
MTND3P16,-0.000,-0.001,1.118e-1
OR5M4P,-0.000,-0.001,1.117e-1
RPL15P21,-0.000,-0.001,1.117e-1
KRT18P42,-0.000,-0.001,1.117e-1
RP11-634B22.4,-0.000,-0.001,8.147e-1
TPST2P1,-0.000,-0.001,1.116e-1
RP11-119F19.5,-0.000,-0.001,1.115e-1
MIR133B,-0.000,-0.001,1.114e-1
RNU6-338P,-0.000,-0.001,1.113e-1
OR8R1P,-0.000,-0.001,1.113e-1
TRAJ51,-0.000,-0.001,1.113e-1
RP11-427P5.2,-0.000,-0.001,1.112e-1
AC068483.1,-0.000,-0.001,1.112e-1
LINC01139,-0.000,-0.001,8.263e-1
RP11-732A19.2,-0.000,-0.001,1.111e-1
RP11-323C15.2,-0.000,-0.001,1.110e-1
MTND5P6,-0.000,-0.001,1.110e-1
FRG2DP,-0.000,-0.001,1.110e-1
MIR574,-0.000,-0.001,1.110e-1
MIR214,-0.000,-0.001,1.110e-1
RP11-408E5.6,-0.000,-0.001,1.109e-1
RPS27P26,-0.000,-0.001,1.109e-1
MIR4431,-0.000,-0.001,1.108e-1
RP11-580P21.1,-0.000,-0.001,1.108e-1
RPL23AP8,-0.000,-0.001,1.108e-1
RPL23AP59,-0.000,-0.001,1.108e-1
RP13-554M15.7,-0.000,-0.001,1.107e-1
RNU4-4P,-0.000,-0.001,1.106e-1
RP11-468N14.5,-0.000,-0.001,1.104e-1
FNTAP1,-0.000,-0.001,1.103e-1
KRTAP19-1,-0.000,-0.001,1.103e-1
RP11-108F13.2,-0.000,-0.001,1.103e-1
DNAJA1P2,-0.000,-0.001,1.102e-1
IQCF5-AS1,-0.000,-0.001,1.102e-1
RP11-165D6.1,-0.000,-0.001,1.101e-1
MEP1AP4,-0.000,-0.001,1.101e-1
GAPDHP46,-0.000,-0.001,1.101e-1
CLDN17,-0.000,-0.001,1.101e-1
LINC02434,-0.000,-0.001,1.100e-1
RP11-108M12.2,-0.000,-0.001,1.099e-1
RNU6-1339P,-0.000,-0.001,1.099e-1
BIN2P2,-0.000,-0.001,1.098e-1
FGF4,-0.000,-0.001,1.098e-1
ASS1P7,-0.000,-0.001,1.098e-1
RP11-424C20.2,-0.000,-0.001,1.098e-1
AC018685.2,-0.000,-0.001,1.098e-1
RP11-647P12.1,-0.000,-0.001,8.096e-1
HK2P1,-0.000,-0.001,1.097e-1
TRAJ32,-0.000,-0.001,1.097e-1
PALLD-AS1,-0.000,-0.001,1.097e-1
MTRES1P1,-0.000,-0.001,1.096e-1
MIR5580,-0.000,-0.001,1.095e-1
RN7SKP37,-0.000,-0.001,1.095e-1
OR4K16P,-0.000,-0.001,1.095e-1
HNRNPA1P43,-0.000,-0.001,1.095e-1
PPIAP13,-0.000,-0.001,1.095e-1
RN7SL372P,-0.000,-0.001,1.094e-1
HMGN2P17,-0.000,-0.001,1.094e-1
OR7E31P,-0.000,-0.001,1.093e-1
RP11-455J15.1,-0.000,-0.001,1.093e-1
PDIA3P2,-0.000,-0.001,1.092e-1
MFFP2,-0.000,-0.001,1.092e-1
RN7SKP205,-0.000,-0.001,1.092e-1
RP11-12A2.1,-0.000,-0.001,1.092e-1
RP11-174C7.1,-0.000,-0.001,1.091e-1
CTD-2210P15.3,-0.000,-0.001,1.091e-1
MIR609,-0.000,-0.001,1.091e-1
RP5-1069C8.3,-0.000,-0.001,1.090e-1
RNA5SP329,-0.000,-0.001,1.090e-1
CTD-3023L14.3,-0.000,-0.001,7.866e-1
MIR4688,-0.000,-0.001,1.089e-1
LINC00165,-0.000,-0.001,1.089e-1
LINC02329,-0.000,-0.001,1.089e-1
MIR150,-0.000,-0.001,1.089e-1
AC125238.2,-0.000,-0.001,1.088e-1
OR10J4,-0.000,-0.001,1.088e-1
RNU6-415P,-0.000,-0.001,1.087e-1
MIR466,-0.000,-0.001,1.087e-1
RN7SL677P,-0.000,-0.001,1.087e-1
TRIM64,-0.000,-0.001,1.087e-1
H3P5,-0.000,-0.001,1.087e-1
RP11-446E24.3,-0.000,-0.001,1.087e-1
RP11-315F22.1,-0.000,-0.001,1.086e-1
KRTAP20-2,-0.000,-0.001,1.086e-1
RP11-288C17.3,-0.000,-0.001,1.085e-1
RNA5SP428,-0.000,-0.001,1.085e-1
FLYWCH1P1,-0.000,-0.001,1.085e-1
RP11-62H7.3,-0.000,-0.001,1.085e-1
MIR4433B,-0.000,-0.001,1.085e-1
RP11-1072N2.3,-0.000,-0.001,1.085e-1
STRADBP1,-0.000,-0.001,1.084e-1
RP11-158N24.1,-0.000,-0.001,1.084e-1
FOXD1-AS1,-0.000,-0.001,1.084e-1
RP11-11L12.2,-0.000,-0.001,1.084e-1
MIR23A,-0.000,-0.001,1.083e-1
RNU6-496P,-0.000,-0.001,1.083e-1
HMGB3P27,-0.000,-0.001,1.083e-1
OR7E101P,-0.000,-0.001,1.082e-1
RP13-122B23.9,-0.000,-0.001,1.082e-1
CTD-2540B15.12,-0.000,-0.001,1.082e-1
RP5-1128N12.3,-0.000,-0.001,1.082e-1
SSXP9,-0.000,-0.001,1.082e-1
RP11-461O7.2,-0.000,-0.001,1.082e-1
SERPINH1P1,-0.000,-0.001,1.082e-1
YBX3P1,-0.000,-0.001,1.081e-1
RN7SL334P,-0.000,-0.001,1.081e-1
NIFKP1,-0.000,-0.001,1.081e-1
RP11-498M14.2,-0.000,-0.001,1.081e-1
MIR3179-4,-0.000,-0.001,1.080e-1
RP11-699C17.1,-0.000,-0.001,1.080e-1
MIR4795,-0.000,-0.001,1.080e-1
C2orf69P1,-0.000,-0.001,1.079e-1
LINC02132,-0.000,-0.001,1.078e-1
TEX38,-0.000,-0.001,8.136e-1
MIR3065,-0.000,-0.001,1.078e-1
CLPTM1LP1,-0.000,-0.001,1.077e-1
RNU1-74P,-0.000,-0.001,1.077e-1
ZSWIM5P1,-0.000,-0.001,1.076e-1
RN7SL598P,-0.000,-0.001,1.076e-1
RP11-525K10.1,-0.000,-0.001,8.107e-1
RP1-58B11.1,-0.000,-0.001,1.075e-1
ADAM24P,-0.000,-0.001,1.075e-1
RP11-486B10.3,-0.000,-0.001,1.075e-1
CTA-125H2.3,-0.000,-0.001,1.074e-1
RP11-717I24.1,-0.000,-0.001,1.074e-1
RFPL4AP7,-0.000,-0.001,1.074e-1
TRGVB,-0.000,-0.001,1.074e-1
RP11-1100L3.7,-0.000,-0.001,8.006e-1
RNU6-304P,-0.000,-0.001,1.074e-1
RNU6-403P,-0.000,-0.001,1.074e-1
RNY4P23,-0.000,-0.001,1.074e-1
RP11-326K13.2,-0.000,-0.001,1.074e-1
RP11-799D4.1,-0.000,-0.001,1.073e-1
RNA5SP96,-0.000,-0.001,1.072e-1
RNU6-1243P,-0.000,-0.001,1.072e-1
RNU4-64P,-0.000,-0.001,1.072e-1
RPL23AP31,-0.000,-0.001,1.072e-1
DDX6P1,-0.000,-0.001,1.072e-1
OR10T2,-0.000,-0.001,1.072e-1
RP11-331H2.3,-0.000,-0.001,1.071e-1
IGKV3-11,-0.000,-0.001,1.071e-1
GS1-259H13.7,-0.000,-0.001,1.071e-1
RP11-294L11.1,-0.000,-0.001,1.071e-1
HIGD1AP5,-0.000,-0.001,1.071e-1
SNORD115-27,-0.000,-0.001,1.071e-1
RPL7AP57,-0.000,-0.001,1.071e-1
RPL36AP14,-0.000,-0.001,1.071e-1
TTC39CP1,-0.000,-0.001,1.070e-1
OR10P1,-0.000,-0.001,1.070e-1
RP11-511B7.1,-0.000,-0.001,1.070e-1
RNU6-488P,-0.000,-0.001,1.070e-1
RP3-419C19.3,-0.000,-0.001,1.070e-1
RNU4-76P,-0.000,-0.001,1.070e-1
RNU4-49P,-0.000,-0.001,1.070e-1
LDHAP1,-0.000,-0.001,1.069e-1
MTND6P17,-0.000,-0.001,1.069e-1
LINC02000,-0.000,-0.001,1.069e-1
UGT1A4,-0.000,-0.001,1.068e-1
CDKN2AIPNLP1,-0.000,-0.001,1.068e-1
AP001595.1,-0.000,-0.001,1.068e-1
ESRRAP1,-0.000,-0.001,1.068e-1
RP11-347L18.1,-0.000,-0.001,1.068e-1
TRAJ23,-0.000,-0.001,1.068e-1
RNU4ATAC7P,-0.000,-0.001,1.068e-1
SRRM1P2,-0.000,-0.001,1.068e-1
RP11-68D16.2,-0.000,-0.001,1.068e-1
IFNA10,-0.000,-0.001,1.068e-1
SFT2D3,-0.000,-0.001,8.132e-1
MIR140,-0.000,-0.001,1.067e-1
TRDJ3,-0.000,-0.001,1.067e-1
RP3-407E4.3,-0.000,-0.001,1.067e-1
H1-6,-0.000,-0.001,1.067e-1
RNU4-30P,-0.000,-0.001,1.066e-1
NPM1P1,-0.000,-0.001,1.066e-1
RN7SL108P,-0.000,-0.001,1.066e-1
OR7E156P,-0.000,-0.001,1.066e-1
CTC-204F22.1,-0.000,-0.001,1.066e-1
RP1-95L4.2,-0.000,-0.001,1.065e-1
RP11-485O10.3,-0.000,-0.001,1.065e-1
HIGD1AP15,-0.000,-0.001,1.065e-1
RP11-579D7.8,-0.000,-0.001,1.065e-1
VN1R31P,-0.000,-0.001,1.065e-1
CXCL11,-0.000,-0.001,7.904e-1
RNU6-74P,-0.000,-0.001,1.065e-1
RNU6-744P,-0.000,-0.001,1.064e-1
RP11-793B23.2,-0.000,-0.001,1.064e-1
HSPA7,-0.000,-0.001,1.064e-1
RP11-618I10.1,-0.000,-0.001,1.064e-1
RPL5P26,-0.000,-0.001,1.064e-1
RP11-320P11.1,-0.000,-0.001,1.064e-1
RP11-312B18.1,-0.000,-0.001,1.063e-1
CTC-756D1.1,-0.000,-0.001,1.063e-1
RP13-16H11.8,-0.000,-0.001,1.063e-1
DPY19L2P5,-0.000,-0.001,1.063e-1
MIR4308,-0.000,-0.001,1.063e-1
SAP18P3,-0.000,-0.001,1.063e-1
RP11-467L19.6,-0.000,-0.001,1.063e-1
GTF3AP6,-0.000,-0.001,1.063e-1
RN7SKP267,-0.000,-0.001,1.062e-1
RP11-76I23.7,-0.000,-0.001,1.062e-1
KRT8P34,-0.000,-0.001,1.062e-1
KRT8P35,-0.000,-0.001,1.062e-1
IGLV7-46,-0.000,-0.001,1.062e-1
TNIP2P1,-0.000,-0.001,1.061e-1
MIR548AI,-0.000,-0.001,1.061e-1
RNU6-369P,-0.000,-0.001,1.061e-1
TUBB8P4,-0.000,-0.001,1.061e-1
RP11-598O12.1,-0.000,-0.001,1.061e-1
SNORD41,-0.000,-0.001,1.061e-1
RP1-149C7.1,-0.000,-0.001,1.060e-1
RNU6-41P,-0.000,-0.001,1.060e-1
OR4C2P,-0.000,-0.001,1.060e-1
RP11-692C24.3,-0.000,-0.001,1.060e-1
ZYG11AP1,-0.000,-0.001,1.059e-1
SEPTIN14P8,-0.000,-0.001,1.059e-1
RP11-626I20.1,-0.000,-0.001,1.059e-1
RNU7-69P,-0.000,-0.001,1.059e-1
U3_ENSG00000221044,-0.000,-0.001,1.059e-1
DPPA2P4,-0.000,-0.001,1.059e-1
SAR1AP1,-0.000,-0.001,1.059e-1
FOXO1B,-0.000,-0.001,1.059e-1
RP4-597J3.1,-0.000,-0.001,1.059e-1
RP11-670E13.3,-0.000,-0.001,1.058e-1
CTD-2516K3.3,-0.000,-0.001,1.058e-1
HNRNPA1P20,-0.000,-0.001,1.058e-1
RN7SL586P,-0.000,-0.001,1.058e-1
RP1-302D9.5,-0.000,-0.001,1.058e-1
RP11-111N20.4,-0.000,-0.001,1.057e-1
ZCCHC13,-0.000,-0.001,1.057e-1
MIR6776,-0.000,-0.001,1.057e-1
GTF3C6P3,-0.000,-0.001,1.057e-1
RN7SL396P,-0.000,-0.001,1.057e-1
RP11-809F4.3,-0.000,-0.001,1.057e-1
ELL2P4,-0.000,-0.001,1.057e-1
PPIAP26,-0.000,-0.001,1.057e-1
RP1-228H13.2,-0.000,-0.001,1.057e-1
RNU6-871P,-0.000,-0.001,1.057e-1
HSPE1P10,-0.000,-0.001,1.056e-1
GMFBP1,-0.000,-0.001,1.056e-1
OSBPL9P5,-0.000,-0.001,1.056e-1
RP11-380I10.3,-0.000,-0.001,1.056e-1
SERF1AP1,-0.000,-0.001,1.056e-1
FEM1AP3,-0.000,-0.001,1.056e-1
CEACAMP4,-0.000,-0.001,1.056e-1
CRIP1P1,-0.000,-0.001,1.056e-1
RN7SL346P,-0.000,-0.001,1.056e-1
AP000867.14,-0.000,-0.001,1.055e-1
TCERG1L-AS1,-0.000,-0.001,1.055e-1
RPS5P7,-0.000,-0.001,1.055e-1
IFITM3P2,-0.000,-0.001,1.055e-1
RP4-803A2.1,-0.000,-0.001,1.055e-1
RP11-350O14.18,-0.000,-0.001,1.055e-1
RNU6-633P,-0.000,-0.001,1.055e-1
LINC01960,-0.000,-0.001,1.055e-1
RNU6-287P,-0.000,-0.001,1.055e-1
RNU6-1127P,-0.000,-0.001,1.054e-1
MIR1258,-0.000,-0.001,1.054e-1
VN1R9P,-0.000,-0.001,1.054e-1
LCE1A,-0.000,-0.001,1.054e-1
HSPE1P18,-0.000,-0.001,1.053e-1
RNU6-740P,-0.000,-0.001,1.053e-1
MIR298,-0.000,-0.001,1.053e-1
NUFIP1P1,-0.000,-0.001,1.052e-1
SNORD58B,-0.000,-0.001,1.052e-1
RP11-1112G13.3,-0.000,-0.001,1.052e-1
RNA5SP142,-0.000,-0.001,1.052e-1
CTB-17P3.4,-0.000,-0.001,1.052e-1
RP11-760D2.12,-0.000,-0.001,1.052e-1
TRAJ34,-0.000,-0.001,1.052e-1
KRT7-AS,-0.000,-0.001,1.051e-1
RP11-297L6.3,-0.000,-0.001,1.051e-1
RP11-44N17.2,-0.000,-0.001,1.051e-1
RNU6-349P,-0.000,-0.001,1.051e-1
AC068580.5,-0.000,-0.001,1.051e-1
RP11-387A1.5,-0.000,-0.001,1.051e-1
OR5AZ1P,-0.000,-0.001,1.051e-1
MAPK8IP1P1,-0.000,-0.001,1.051e-1
SMIM15P1,-0.000,-0.001,1.051e-1
RP11-313I2.8,-0.000,-0.001,1.051e-1
GRAMD4P7,-0.000,-0.001,1.051e-1
OR56B4,-0.000,-0.001,1.051e-1
IFITM3P9,-0.000,-0.001,1.051e-1
TRAJ38,-0.000,-0.001,1.051e-1
LINC00533,-0.000,-0.001,1.051e-1
RPL9P6,-0.000,-0.001,1.050e-1
RNA5SP290,-0.000,-0.001,1.050e-1
MIR532,-0.000,-0.001,1.050e-1
ARHGAP42P4,-0.000,-0.001,1.050e-1
AC092669.6,-0.000,-0.001,1.050e-1
CTB-113I20.1,-0.000,-0.001,1.050e-1
MIR3925,-0.000,-0.001,1.050e-1
AC134915.1,-0.000,-0.001,1.050e-1
RP11-618K16.4,-0.000,-0.001,1.050e-1
OR51N1P,-0.000,-0.001,1.050e-1
MIR5583-1,-0.000,-0.001,1.049e-1
CLDN24,-0.000,-0.001,1.049e-1
OR5BR1P,-0.000,-0.001,1.049e-1
RPL21P9,-0.000,-0.001,1.049e-1
SNX18P4,-0.000,-0.001,1.049e-1
IL6RP1,-0.000,-0.001,1.049e-1
KB-1562D12.2,-0.000,-0.001,1.049e-1
RN7SL135P,-0.000,-0.001,1.049e-1
RP11-481A20.4,-0.000,-0.001,1.049e-1
PDCL3P3,-0.000,-0.001,1.048e-1
RP11-284L19.1,-0.000,-0.001,1.048e-1
MIR8070,-0.000,-0.001,1.048e-1
RP11-7F17.11,-0.000,-0.001,1.048e-1
KRT8P6,-0.000,-0.001,1.048e-1
HMGB3P8,-0.000,-0.001,1.048e-1
RP11-277J6.3,-0.000,-0.001,1.048e-1
RP13-644M16.2,-0.000,-0.001,1.048e-1
RP11-366M4.13,-0.000,-0.001,1.048e-1
EEF1A1P22,-0.000,-0.001,1.048e-1
MIR6082,-0.000,-0.001,1.048e-1
PRAMEF1,-0.000,-0.001,1.048e-1
AC092660.1,-0.000,-0.001,1.048e-1
RNA5SP255,-0.000,-0.001,1.047e-1
ACRP1,-0.000,-0.001,1.047e-1
RNU6-1152P,-0.000,-0.001,1.047e-1
RP11-535A5.1,-0.000,-0.001,1.047e-1
AP001271.3,-0.000,-0.001,1.047e-1
RPS26P38,-0.000,-0.001,1.047e-1
AC007115.3,-0.000,-0.001,1.047e-1
MTCYBP5,-0.000,-0.001,1.047e-1
RP11-794A8.1,-0.000,-0.001,1.047e-1
RP11-209B12.1,-0.000,-0.001,1.047e-1
RNU6-728P,-0.000,-0.001,1.046e-1
KRT8P24,-0.000,-0.001,1.046e-1
RNU6-139P,-0.000,-0.001,1.046e-1
RP11-760D2.11,-0.000,-0.001,1.046e-1
AP001187.11,-0.000,-0.001,1.046e-1
LOC401913,-0.000,-0.001,1.046e-1
RP11-93G23.2,-0.000,-0.001,1.046e-1
RPL34P36,-0.000,-0.001,1.046e-1
ANAPC15P2,-0.000,-0.001,1.046e-1
RN7SKP231,-0.000,-0.001,1.046e-1
MARCHF10,-0.000,-0.001,7.970e-1
SIAH1P1,-0.000,-0.001,1.045e-1
RNU6-1125P,-0.000,-0.001,1.045e-1
AC079325.5,-0.000,-0.001,1.045e-1
AC000067.1,-0.000,-0.001,1.045e-1
OFD1P5Y,-0.000,-0.001,1.045e-1
RN7SL236P,-0.000,-0.001,1.045e-1
S100A7L2,-0.000,-0.001,1.045e-1
MKRN4P,-0.000,-0.001,1.044e-1
RP11-315O8.1,-0.000,-0.001,1.044e-1
MTND2P22,-0.000,-0.001,1.044e-1
ENSG00000200706.1,-0.000,-0.001,1.044e-1
COX6CP11,-0.000,-0.001,1.044e-1
MIR1207,-0.000,-0.001,1.044e-1
MIR4439,-0.000,-0.001,1.044e-1
TRAJ19,-0.000,-0.001,1.044e-1
MTND4P13,-0.000,-0.001,1.044e-1
MIR626,-0.000,-0.001,1.044e-1
RP11-395P13.4,-0.000,-0.001,1.044e-1
MYL6P5,-0.000,-0.001,1.043e-1
RPL31P13,-0.000,-0.001,1.043e-1
RNU6-380P,-0.000,-0.001,1.043e-1
RP11-155B15.1,-0.000,-0.001,1.043e-1
RPL31P33,-0.000,-0.001,1.043e-1
MTCO1P20,-0.000,-0.001,1.042e-1
HAUS6P3,-0.000,-0.001,1.042e-1
RP11-340C20.3,-0.000,-0.001,1.042e-1
OR5M3,-0.000,-0.001,1.042e-1
AC093484.4,-0.000,-0.001,1.042e-1
KRT18P38,-0.000,-0.001,1.042e-1
OR4A11P,-0.000,-0.001,1.042e-1
RNA5SP197,-0.000,-0.001,1.041e-1
RP11-74K11.1,-0.000,-0.001,1.041e-1
RP11-708H21.1,-0.000,-0.001,1.041e-1
RP11-467J12.3,-0.000,-0.001,1.041e-1
RPL23AP69,-0.000,-0.001,1.041e-1
RNA5SP258,-0.000,-0.001,1.041e-1
OR4V1P,-0.000,-0.001,1.041e-1
ABCF2-H2BE1,-0.000,-0.001,1.041e-1
MIR4725,-0.000,-0.001,1.041e-1
RP11-322E11.1,-0.000,-0.001,1.041e-1
ABCD1P2,-0.000,-0.001,1.041e-1
MT-TK,-0.000,-0.001,1.041e-1
RP11-325K19.6,-0.000,-0.001,1.041e-1
PPIAP1,-0.000,-0.001,1.040e-1
B3GALT9,-0.000,-0.001,7.985e-1
AC004837.4,-0.000,-0.001,1.040e-1
TUBBP3,-0.000,-0.001,1.040e-1
RP11-770E5.2,-0.000,-0.001,1.040e-1
RNU6-992P,-0.000,-0.001,1.040e-1
MYCLP1,-0.000,-0.001,1.039e-1
MTCYBP24,-0.000,-0.001,1.039e-1
SUMO2P10,-0.000,-0.001,1.039e-1
RP11-545D22.1,-0.000,-0.001,1.039e-1
RP11-483G21.3,-0.000,-0.001,1.039e-1
TRAV8-7,-0.000,-0.001,1.039e-1
CTB-31O20.8,-0.000,-0.001,1.039e-1
LINC02702,-0.000,-0.001,7.785e-1
XXbac-BPG299F13.16,-0.000,-0.001,1.039e-1
MIR4513,-0.000,-0.001,1.039e-1
RP11-424M22.1,-0.000,-0.001,1.038e-1
RN7SKP222,-0.000,-0.001,1.038e-1
RNU6-940P,-0.000,-0.001,1.038e-1
CTD-2054N24.1,-0.000,-0.001,1.038e-1
MIR135A1,-0.000,-0.001,1.038e-1
RP11-154D6.3,-0.000,-0.001,1.037e-1
MIR1255B2,-0.000,-0.001,1.037e-1
RP11-203B7.2,-0.000,-0.001,1.037e-1
AC005559.3,-0.000,-0.001,1.037e-1
RNU6-1098P,-0.000,-0.001,1.037e-1
SRIP2,-0.000,-0.001,1.037e-1
RN7SL845P,-0.000,-0.001,1.037e-1
RP11-558A11.3,-0.000,-0.001,1.037e-1
UBQLN4P2,-0.000,-0.001,1.037e-1
OR5G4P,-0.000,-0.001,1.037e-1
RP11-62H20.1,-0.000,-0.001,8.029e-1
RNU4ATAC6P,-0.000,-0.001,1.036e-1
RP11-460I19.2,-0.000,-0.001,1.036e-1
RP11-37O16.8,-0.000,-0.001,1.036e-1
AC099552.4,-0.000,-0.001,1.036e-1
RP11-89B16.2,-0.000,-0.001,1.036e-1
RP11-451O18.1,-0.000,-0.001,1.036e-1
RP11-586E1.1,-0.000,-0.001,1.036e-1
TAF9P1,-0.000,-0.001,1.036e-1
RPS26P35,-0.000,-0.001,1.036e-1
RP11-72O13.2,-0.000,-0.001,1.036e-1
OR8K2P,-0.000,-0.001,1.036e-1
TRBV24OR9-2,-0.000,-0.001,1.035e-1
RP1-76B20.16,-0.000,-0.001,1.035e-1
ZNF720P1,-0.000,-0.001,1.035e-1
RP1-288M22.1,-0.000,-0.001,1.035e-1
RP13-560N11.1,-0.000,-0.001,1.035e-1
RP4-620E11.5,-0.000,-0.001,1.035e-1
RNU6-640P,-0.000,-0.001,1.035e-1
RN7SL843P,-0.000,-0.001,1.035e-1
TRAV33,-0.000,-0.001,1.035e-1
CTB-158E9.2,-0.000,-0.001,1.035e-1
RN7SKP103,-0.000,-0.001,1.035e-1
RP11-955H22.4,-0.000,-0.001,1.034e-1
RPL23AP56,-0.000,-0.001,1.034e-1
LINC02658,-0.000,-0.001,1.034e-1
AC114760.1,-0.000,-0.001,1.034e-1
RN7SKP11,-0.000,-0.001,1.034e-1
CTD-2571E19.3,-0.000,-0.001,1.034e-1
MIR4733,-0.000,-0.001,1.034e-1
